"1616109717000.jpg" :{"time" :1616109717000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978058 ,"N":28.240301,"H":151.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109718000.jpg" :{"time" :1616109718000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978058 ,"N":28.240299,"H":150.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109719000.jpg" :{"time" :1616109719000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978065 ,"N":28.240299,"H":149.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109720000.jpg" :{"time" :1616109720000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978065 ,"N":28.240297,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109721000.jpg" :{"time" :1616109721000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240297,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109722000.jpg" :{"time" :1616109722000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109723000.jpg" :{"time" :1616109723000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109724000.jpg" :{"time" :1616109724000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109725000.jpg" :{"time" :1616109725000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109726000.jpg" :{"time" :1616109726000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109727000.jpg" :{"time" :1616109727000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109728000.jpg" :{"time" :1616109728000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109729000.jpg" :{"time" :1616109729000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109730000.jpg" :{"time" :1616109730000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109731000.jpg" :{"time" :1616109731000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109732000.jpg" :{"time" :1616109732000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109733000.jpg" :{"time" :1616109733000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109734000.jpg" :{"time" :1616109734000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109735000.jpg" :{"time" :1616109735000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109736000.jpg" :{"time" :1616109736000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109737000.jpg" :{"time" :1616109737000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109738000.jpg" :{"time" :1616109738000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109739000.jpg" :{"time" :1616109739000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
